file_id,filename,absolute_path,file_extension,size_bytes,modify_datetime,md5_checksum,sha256_checksum
16,file.pdf,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/pdf/file.pdf,.pdf,1538,2022-10-05T13:54:22,b76bb219e68469283095b12a0b6aef2c,aa3749f994f8869e3d982514ea4dd17e08812feb40e70c03b7e6b8503f802e69
17,Chapter03.pdf,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/pdf/Chapter03.pdf,.pdf,51919,2022-10-05T13:54:22,b4c4ac3b610fc0057ef57acaace0c78a,69781aa7568c6dd54443c11cbc8e3ff4223c36b8d5f1f2adc3d387b4cae05694
18,PFCHEJ.pdf,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/pdf/PFCHEJ.pdf,.pdf,10577,2022-10-05T13:54:22,fec5b4c417432aa2de0a482186f3d9d5,d38d370486dda2eb8a5c677c5d2e5d8d174301e30011776ea2689a2270f81f87
19,HR2021 commtext.pdf,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/pdf/HR2021 commtext.pdf,.pdf,36305,2022-10-05T13:54:22,1de98a2344bec62c650f8adb4b8f33e0,ac4f23b0e41544f9d9387730d6aef9c0f1f9668343d6eeddb02734b3b8285b01
20,13080t.jpg,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/image/13080t.jpg,.jpg,3764,2022-10-05T13:54:22,761b75f922ba4d5336c686d64762bd9d,2a1775e5a1f88757193050322f243ba4f7df36c6d0b5a222ca959eae22d3f0b9
21,orca.via_.moc_.noaa_.jpg,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/image/orca.via_.moc_.noaa_.jpg,.jpg,82546,2022-10-05T13:54:22,8dcb7f9f0b452054e79b0d3d6736d782,7d10518c4e8a65ad723d4b011623efda15918fe20a183c7b5ef8f2d5b0146477
22,k7989-7x.jpg,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/image/k7989-7x.jpg,.jpg,7864,2022-10-05T13:54:22,3999ce5979decabcb81adcb969b8249a,28bf7860b92b3086c43b120c25924173c61e5eb228339ec0d4347310e4e79e3a
23,m237a2f.gif,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/image/m237a2f.gif,.gif,7376,2022-10-05T13:54:22,1fe4be82b1896108055b183c384c1f07,a8c6266b14131160618ddc3e6d9057f8fc2c8cff077816323ebd1f0f34f5ca27
24,1005107061.tif,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/image/1005107061.tif,.tif,395734,2022-10-05T13:54:22,71a29e5cb072bd100d945298e78abde5,0883ce4870bc5f0c8336bb2f586f3bfcc4de28c3179215ac2b8d0bfc00238186
25,11-3250JohnsonvFolinoEtAl.wma,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/audio/11-3250JohnsonvFolinoEtAl.wma,.wma,21423499,2022-10-05T13:54:22,0822287ef2af6e97ead980c771bb8f97,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41
26,NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/audio/NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,.mp3,961195,2022-10-05T13:54:22,ad49bb75ecd85c86d8d4a2b418ce83cf,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730
27,mj_telework_exchange_final_100710.mp3,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/audio/mj_telework_exchange_final_100710.mp3,.mp3,3471488,2022-10-05T13:54:22,0253b2c7820143b28f4b1febaece205d,8c276e00edc5e771559fc0970fdc688ace0c9f127d4ab4e6a4652acb705ff160
28,000727.ram,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/audio/000727.ram,.ram,79,2022-10-05T13:54:22,807f4a33e2198c1dd629c8902c37c535,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500
29,BudgetandGrants012710.ppt,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/presentation/BudgetandGrants012710.ppt,.ppt,85504,2022-10-05T13:54:22,4080ec664a2b4b14fec1826c42ccc3a3,9d447bf8b8ecbb659b965d005abb40d18555aea98d414c6c44b4fc1bfaedbcab
30,ADAEMPLOYMENTTaxIncentives.ppt,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/presentation/ADAEMPLOYMENTTaxIncentives.ppt,.ppt,137216,2022-10-05T13:54:22,f614356ebb35fa76d482709372237bd5,9b6b74447622ac1646a538e63e452569e111cf775d1244373678d947405e33be
31,Non-FTE-Trainee-Activities-060109.ppt,/Users/summermengarelli/Downloads/networked-services-labs/data/webfiles-samples/presentation/Non-FTE-Trainee-Activities-060109.ppt,.ppt,67072,2022-10-05T13:54:22,e71a83494f2565ee5168b7dc3d4de306,351b47d6681660cff330ab253902f92a638a5fb8e4ba3a39dfb2fc4b27778a70
32,201403160_01_text.json,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/201403160_01_text.json,.json,392407,2022-10-05T13:54:22,4f00f6738afd560519a6cf41756228cc,ddec5c528333c1ae75354898d3baf061e5c3d2dcc4da6aac75ca779913b46d3e
